Algoritmo,Tamaño Matriz,Caso 1,Caso 2,Caso 3,Caso 4,Caso 5,Caso 6,Caso 7,Caso 8
NaivOnArray,0.0,0.0,0.0011382102966308594,0.002985715866088867,0.022237539291381836,0.17057394981384277,1.3511693477630615,10.369549036026001
NaivLoopUnrollingTwo,0.0,0.0,0.0,0.0020003318786621094,0.012263298034667969,0.0895228385925293,0.7044820785522461,5.843897342681885
NaivLoopUnrollingFour,0.0,0.0,0.0,0.00099945068359375,0.011605024337768555,0.08729839324951172,0.687612771987915,5.722833633422852
WinogradOriginal,0.0,0.0,0.0,0.0020575523376464844,0.0201265811920166,0.14633893966674805,1.123727798461914,9.328614711761475
WinogradScaled,0.0,0.0,0.0,0.00596165657043457,0.041387319564819336,0.3029444217681885,2.3500499725341797,19.476561784744263
StrassenNaiv,0.0,0.0,0.0010285377502441406,0.006129026412963867,0.04710054397583008,0.3061857223510742,2.105485677719116,15.202949523925781
III.3 Sequential block,0.0,0.0,0.0009987354278564453,0.0020036697387695312,0.022257089614868164,0.16684365272521973,1.25993013381958,10.747244358062744
IV.3 Sequential block,0.0,0.0,0.0,0.0029993057250976562,0.020500659942626953,0.16830134391784668,1.2440388202667236,10.262266874313354
V.3 Sequential block,0.0,0.0,0.0,0.0021867752075195312,0.022311687469482422,0.1759331226348877,1.3100883960723877,10.361939430236816
V.4 Parallel Block,0.005044460296630859,0.0,0.0,0.0,0.0,0.1690375804901123,1.290693998336792,10.12676739692688
