Algoritmo,Tiempo Promedio (segundos)
NaivOnArray,1.557453350000003
NaivLoopUnrollingTwo,1.0064644625000483
NaivLoopUnrollingFour,0.9156684499999415
WinogradOriginal,1.369953787500009
WinogradScaled,3.0561777000000347
StrassenNaiv,2.688604837499952
III.3 Sequential block,1.576472512500004
IV.3 Sequential block,1.5785251374999518
V.3 Sequential block,1.567173449999956
V.4 Parallel Block,1.5310257875000275
