Algoritmo,Tiempo Promedio (segundos)
NaivOnArray,0.00011779999999816937
NaivLoopUnrollingTwo,7.21999999768741e-05
NaivLoopUnrollingFour,7.209999989754579e-05
WinogradOriginal,0.00013899999999011925
WinogradScaled,0.00021970000011606317
StrassenNaiv,0.00020859999995082035
III.3 Sequential block,5.719999990105862e-05
IV.3 Sequential block,5.3499999921768904e-05
V.3 Sequential block,5.189999978938431e-05
V.4 Parallel Block,4.259999991518271e-05
