Algoritmo,Tiempo Promedio (segundos)
NaivOnArray,2.689999996619008e-05
NaivLoopUnrollingTwo,1.5300000086426735e-05
NaivLoopUnrollingFour,9.600000112186535e-06
WinogradOriginal,2.2600000193051528e-05
WinogradScaled,5.090000013296958e-05
StrassenNaiv,4.42000000475673e-05
III.3 Sequential block,1.5000000075815478e-05
IV.3 Sequential block,1.2100000049031223e-05
V.3 Sequential block,1.13999999484804e-05
V.4 Parallel Block,0.003345300000091811
